delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.1,1000,exp,1,8,20,6,178.2218370999908,179.21807399997488,179.21807399997488,179.2347769999178,space,0.05650690000038594,179.40118823999074,179.71178749995306,179.71178749995306,179.71178749995306,100,21,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,1000,exp,1,9,21,9,182.97714420000557,183.98420379997697,183.98420379997697,183.98420379997697,space,1.1368975999066606,185.25049273991027,185.561859899899,185.561859899899,185.561859899899,50,22,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,1000,exp,1,10,22,3,188.72181059990544,189.7167869999539,189.7167869999539,189.73363149992656,space,1.5089106999803334,191.35009654001334,191.65739700000267,191.65739700000267,191.65739700000267,50,23,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,1,11,23,5,193.88539599999785,194.88255589990877,194.88255589990877,194.89925129991025,space,0.9721682999515906,196.5825296400115,196.8919754999224,196.8919754999224,196.8919754999224,100,24,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628, 4.202336199930869]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175, 4.202348199905828]",196.8919754999224,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,1000,exp,2,0,24,9,201.08217629999854,202.08206169994082,202.08206169994082,202.08206169994082,space,1.9646712999092415,204.16474443995395,204.47573239996564,204.47573239996564,204.47573239996564,100,25,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628, 4.202336199930869, 2.6471764999441803]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175, 4.202348199905828, 2.6471883999183774]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,2,1,25,11,207.10972159996163,208.11424819997046,208.11424819997046,208.11424819997046,space,1.1166341999778524,209.94728333998938,210.25700979994144,210.25700979994144,210.25700979994144,100,26,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628, 4.202336199930869, 2.6471764999441803, 2.410076200030744]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175, 4.202348199905828, 2.6471883999183774, 2.4100881000049412]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,400,unexp,2,2,26,0,212.65532719995826,213.64735969994217,213.64735969994217,213.6636611999711,space,0.7027838999638334,214.4802553399466,214.78983619995415,214.78983619995415,214.78983619995415,100,27,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628, 4.202336199930869, 2.6471764999441803, 2.410076200030744, 2.373349600005895]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175, 4.202348199905828, 2.6471883999183774, 2.4100881000049412, 2.3733610999770463]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,1000,exp,2,3,27,3,217.1496138999937,218.14656929997727,218.14656929997727,218.16337259998545,space,0.6765174999600276,218.94625203993638,219.26020599994808,219.26020599994808,219.26020599994808,100,28,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628, 4.202336199930869, 2.6471764999441803, 2.410076200030744, 2.373349600005895, 3.0959480999736115]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175, 4.202348199905828, 2.6471883999183774, 2.4100881000049412, 2.3733610999770463, 3.0959599000634626]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.4,1000,exp,2,4,28,4,222.33914940000977,223.34581909992266,223.34581909992266,223.34581909992266,space,2.215085400035605,225.9788013399346,226.2903550999472,226.2903550999472,226.2903550999472,200,29,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628, 4.202336199930869, 2.6471764999441803, 2.410076200030744, 2.373349600005895, 3.0959480999736115, 2.261777800042182]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175, 4.202348199905828, 2.6471883999183774, 2.4100881000049412, 2.3733610999770463, 3.0959599000634626, 2.261789000011049]",226.2903550999472,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,2,5,29,8,228.53794019995257,229.5451057999162,229.5451057999162,229.5451057999162,space,0.7717146000359207,231.0446549399756,231.35501279996242,231.35501279996242,231.35501279996242,300,30,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655, 5.946802399936132, 5.1894545999821275, 3.1047875999938697, 2.8646712000481784, 2.741741899983026, 4.040168400038965, 4.697298899991438, 6.321393099962734, 3.20761909999419, 3.6712367999134585, 3.2784732000436634, 3.1724946999456733, 2.236710699973628, 4.202336199930869, 2.6471764999441803, 2.410076200030744, 2.373349600005895, 3.0959480999736115, 2.261777800042182, 1.806649599922821]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763, 5.946814600029029, 5.18946619995404, 3.1047991000814363, 2.864683200023137, 2.741750300046988, 4.040180400013924, 4.697311699972488, 6.321404800051823, 3.207630299963057, 3.671248300001025, 3.278484100010246, 3.1725063999183476, 2.2367224000627175, 4.202348199905828, 2.6471883999183774, 2.4100881000049412, 2.3733610999770463, 3.0959599000634626, 2.261789000011049, 1.806661200011149]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
